Program Version:,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ6A+hp+slab+IECC_2021
Environment:,ANNUAL ** Rochester International Arpt MN USA TMY3 WMO#=726440

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,107437.80,45.20,90.39
,Net Site Energy,107437.80,45.20,90.39
,Total Source Energy,340255.51,143.14,286.28
,Net Source Energy,340255.51,143.14,286.28


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,2377.10
,Net Conditioned Building Area,1188.55
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,107437.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,30,Fan:OnOff,HEAT PUMP WATER HEATER FAN_UNIT1,Design Size Maximum Flow Rate [ft3/min],160.01057
,31,WaterHeater:HeatPump:WrappedCondenser,WATER HEATER_UNIT1,Evaporator air flow rate [ft3/min],160.01057
,32,PlantLoop,DHW LOOP_UNIT1,Maximum Loop Flow Rate [ft3/min],1.04620
,33,PlantLoop,DHW LOOP_UNIT1,Plant Loop Volume [ft3],2.09294
,34,Pump:VariableSpeed,MAINS PRESSURE_UNIT1,Design Flow Rate [ft3/min],1.04620
,35,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1,Maximum Heater Capacity [Btu/h],18766.00000
,36,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1,Use Side Design Flow Rate [ft3/min],1.04620


DX Cooling Coil Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {ton},Standard Rated Net COP {Btuh/Btuh},EER {Btu/W-h},SEER User {Btu/W-h},SEER Standard {Btu/W-h},IEER {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,1.7,3.37,11.52,12.07,11.41,11.47
,2,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,1.7,3.25,11.10,11.61,11.30,-99999.


DX Heating Coil Standard Rating Information

,,Component Type,Component Name,High Temperature Heating (net) Rating Capacity {Btu/h},Low Temperature Heating (net) Rating Capacity {Btu/h},HSPF {Btu/W-h},Region Number
,1,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,22237.0,12309.5,8.03,4
,2,Coil:Heating:DX:SingleSpeed,MAIN DX HEATING COIL_UNIT1,22409.7,12482.1,7.10,4


Environment

,,Environment Name,Environment Type,Start Date,End Date,Start DayOfWeek,Duration {#days},Source:Start DayOfWeek,Use Daylight Saving,Use Holidays,Apply Weekend Holiday Rule,Use Rain Values,Use Snow Values,Sky Temperature Model
,1,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,SizingPeriod:DesignDay,01/21,01/21,WinterDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,2,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,SizingPeriod:DesignDay,07/21,07/21,SummerDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,3,ANNUAL,WeatherFileRunPeriod,01/01/2017,12/31/2017,Sunday,365,Use RunPeriod Specified Day,Yes,Yes,No,Yes,Yes,Clark and Allen


Environment:Daylight Saving

,,Daylight Saving Indicator,Source,Start Date,End Date
,1,No,SizingPeriod:DesignDay,,
,2,No,SizingPeriod:DesignDay,,
,3,No,,,


Environment:WarmupDays

,,NumberofWarmupDays
,1,6
,2,6
,3,6


Environment:Design Day Data

,,Max Dry-Bulb Temp {F},Temp Range {dC},Temp Range Ind Type,Hum Ind Type,Hum Ind Value at Max Temp,Hum Ind Units,Pressure {psi},Wind Direction {deg CW from N},Wind Speed {ft/min},Clearness,Rain,Snow
,1,-15.2,0.00,DefaultMultipliers,Wetbulb,-26.20,{C},14.,310,1122.1,0.00,No,No
,2,88.16,10.60,DefaultMultipliers,Wetbulb,23.10,{C},14.,200,1319.0,0.00,No,No


Environment:Design Day Misc

,,DayOfYear,ASHRAE A Coeff,ASHRAE B Coeff,ASHRAE C Coeff,Solar Constant-Annual Variation,Eq of Time {minutes},Solar Declination Angle {deg},Solar Model
,1,21,1229.0,0.1415,5.7310E-002,1.0,-11.15,-20.,ASHRAEClearSky
,2,202,1084.4,0.2082,0.1365,1.0,-6.23,20.6,ASHRAETau


Tabular Report

,,Style,Unit Conversion
,1,Commaandhtml,commaandhtml


Warmup Convergence Information

,,Zone Name,Environment Type/Name,Average Warmup Temperature Difference {deltaF},Std Dev Warmup Temperature Difference {deltaF},Max Temperature Pass/Fail Convergence,Min Temperature Pass/Fail Convergence,Average Warmup Load Difference {Btu/h},Std Dev Warmup Load Difference {Btu/h},Heating Load Pass/Fail Convergence,Cooling Load Pass/Fail Convergence
,1,LIVING_UNIT1,SizingPeriod: ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,0.073929430,0.074196534,Pass,Pass,0.061585575,0.095474864,Pass,Pass
,2,ATTIC_UNIT1,SizingPeriod: ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,0.003467053,0.003369410,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,3,LIVING_UNIT1,SizingPeriod: ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,0.037945180,0.099063700,Pass,Pass,0.121632056,0.117636557,Pass,Pass
,4,ATTIC_UNIT1,SizingPeriod: ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,0.331775416,0.216933586,Pass,Pass,0.000000000,0.000000000,Pass,Pass
,5,LIVING_UNIT1,RunPeriod: ANNUAL,0.000273479,0.000570151,Pass,Pass,0.029890739,0.035461135,Pass,Pass
,6,ATTIC_UNIT1,RunPeriod: ANNUAL,0.226698226,0.181344918,Pass,Pass,0.000000000,0.000000000,Pass,Pass


----------------------------------------------------------------------------------------------------
REPORT:,Annual Heat Emissions Report
FOR:,Entire Facility
Annual Heat Emissions Summary

,,Envelope Convection,Zone Exfiltration,Zone Exhaust Air,HVAC Relief Air,HVAC Reject Heat,Total
,Heat Emissions [kBtu],384288.56,95104.86,0.00,0.00,-1650.2,477743.84


----------------------------------------------------------------------------------------------------
REPORT:,Annual Thermal Resilience Summary
FOR:,Entire Facility
Heat Index Hours

,,Safe (≤ 80.1°F) [hr],Caution (> 80.1°F, ≤ 90.0°F) [hr],Extreme Caution (> 90.0°F, ≤ 102.9°F) [hr],Danger (> 102.9, ≤ 125.1°F) [hr],Extreme Danger (> 125.1°F) [hr]
,LIVING_UNIT1,8760.00,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,8153.00,451.50,140.33,15.17,0.00
,Min,8153.00,0.00,0.00,0.00,0.00
,Max,8760.00,451.50,140.33,15.17,0.00
,Average,8456.50,225.75,70.17,7.58,0.00
,Sum,16913.00,451.50,140.33,15.17,0.00


Heat Index OccupantHours

,,Safe (≤ 80.1°F) [hr],Caution (> 80.1°F, ≤ 90.0°F) [hr],Extreme Caution (> 90.0°F, ≤ 102.9°F) [hr],Danger (> 102.9, ≤ 125.1°F) [hr],Extreme Danger (> 125.1°F) [hr]
,LIVING_UNIT1,18093.57,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00,0.00
,Max,18093.57,0.00,0.00,0.00,0.00
,Average,9046.79,0.00,0.00,0.00,0.00
,Sum,18093.57,0.00,0.00,0.00,0.00


Heat Index OccupiedHours

,,Safe (≤ 80.1°F) [hr],Caution (> 80.1°F, ≤ 90.0°F) [hr],Extreme Caution (> 90.0°F, ≤ 102.9°F) [hr],Danger (> 102.9, ≤ 125.1°F) [hr],Extreme Danger (> 125.1°F) [hr]
,LIVING_UNIT1,8760.00,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00,0.00
,Max,8760.00,0.00,0.00,0.00,0.00
,Average,4380.00,0.00,0.00,0.00,0.00
,Sum,8760.00,0.00,0.00,0.00,0.00


Humidex Hours

,,Little to no Discomfort (≤ 29) [hr],Some Discomfort (> 29, ≤ 40) [hr],Great Discomfort; Avoid Exertion (> 40, ≤ 45) [hr],Dangerous (> 45, ≤ 50) [hr],Heat Stroke Quite Possible (> 50) [hr]
,LIVING_UNIT1,8575.00,185.00,0.00,0.00,0.00
,ATTIC_UNIT1,7863.83,825.83,59.50,10.83,0.00
,Min,7863.83,185.00,0.00,0.00,0.00
,Max,8575.00,825.83,59.50,10.83,0.00
,Average,8219.42,505.42,29.75,5.42,0.00
,Sum,16438.83,1010.83,59.50,10.83,0.00


Humidex OccupantHours

,,Little to no Discomfort (≤ 29) [hr],Some Discomfort (> 29, ≤ 40) [hr],Great Discomfort; Avoid Exertion (> 40, ≤ 45) [hr],Dangerous (> 45, ≤ 50) [hr],Heat Stroke Quite Possible (> 50) [hr]
,LIVING_UNIT1,17591.68,501.90,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00,0.00
,Max,17591.68,501.90,0.00,0.00,0.00
,Average,8795.84,250.95,0.00,0.00,0.00
,Sum,17591.68,501.90,0.00,0.00,0.00


Humidex OccupiedHours

,,Little to no Discomfort (≤ 29) [hr],Some Discomfort (> 29, ≤ 40) [hr],Great Discomfort; Avoid Exertion (> 40, ≤ 45) [hr],Dangerous (> 45, ≤ 50) [hr],Heat Stroke Quite Possible (> 50) [hr]
,LIVING_UNIT1,8575.00,185.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00,0.00
,Max,8575.00,185.00,0.00,0.00,0.00
,Average,4287.50,92.50,0.00,0.00,0.00
,Sum,8575.00,185.00,0.00,0.00,0.00


Hours of Safety for Cold Events

,,Hours of Safety [hr],End Time of the Safety Duration,Safe Temperature Exceedance Hours [hr],Safe Temperature Exceedance OccupantHours [hr],Safe Temperature Exceedance OccupiedHours [hr]
,LIVING_UNIT1,126.83,06-JAN-06:49,160.50,359.49,160.50
,ATTIC_UNIT1,0.00,-,0.00,0.00,0.00
,Min,0.00,-,0.00,0.00,0.00
,Max,126.83,-,160.50,359.49,160.50
,Average,63.42,-,80.25,179.74,80.25
,Sum,126.83,-,160.50,359.49,160.50


Hours of Safety for Heat Events

,,Hours of Safety [hr],End Time of the Safety Duration,Safe Temperature Exceedance Hours [hr],Safe Temperature Exceedance OccupantHours [hr],Safe Temperature Exceedance OccupiedHours [hr]
,LIVING_UNIT1,8760.00,-,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,-,0.00,0.00,0.00
,Min,0.00,-,0.00,0.00,0.00
,Max,8760.00,-,0.00,0.00,0.00
,Average,4380.00,-,0.00,0.00,0.00
,Sum,8760.00,-,0.00,0.00,0.00


Unmet Degree-Hours

,,Cooling Setpoint Unmet Degree-Hours [°F·hr],Cooling Setpoint Unmet Occupant-Weighted Degree-Hours [°F·hr],Cooling Setpoint Unmet Occupied Degree-Hours [°F·hr],Heating Setpoint Unmet Degree-Hours [°F·hr],Heating Setpoint Unmet Occupant-Weighted Degree-Hours [°F·hr],Heating Setpoint Unmet Occupied Degree-Hours [°C·hr]
,LIVING_UNIT1,42.27,45.71,42.27,4753.25,10340.68,4753.25
,ATTIC_UNIT1,0.00,0.00,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00,0.00,0.00
,Max,42.27,45.71,42.27,4753.25,10340.68,4753.25
,Average,21.13,22.85,21.13,2376.62,5170.34,2376.62
,Sum,42.27,45.71,42.27,4753.25,10340.68,4753.25


Discomfort-weighted Exceedance OccupantHours

,,Very-cold Exceedance OccupantHours [hr],Cool Exceedance OccupantHours [hr],Warm Exceedance OccupantHours [hr],Very-hot Exceedance OccupantHours [hr]
,LIVING_UNIT1,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00
,Max,0.00,0.00,0.00,0.00
,Average,0.00,0.00,0.00,0.00
,Sum,0.00,0.00,0.00,0.00


Discomfort-weighted Exceedance OccupiedHours

,,Very-cold Exceedance OccupantHours [hr],Cool Exceedance OccupantHours [hr],Warm Exceedance OccupantHours [hr],Very-hot Exceedance OccupantHours [hr]
,LIVING_UNIT1,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Min,0.00,0.00,0.00,0.00
,Max,0.00,0.00,0.00,0.00
,Average,0.00,0.00,0.00,0.00
,Sum,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Climatic Data Summary
FOR:,Entire Facility
SizingPeriod:DesignDay

,,Maximum Dry Bulb [F],Daily Temperature Range [deltaF],Humidity Value,Humidity Type,Wind Speed [ft/min],Wind Direction
,ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB,-15.2,0.00,-15.2,Wetbulb [F],1122.10,310.00
,ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB,88.16,19.08,73.58,Wetbulb [F],1318.96,200.00


Monthly Precipitation Summary

,,Monthly Total Precipitation from .epw [in],Monthly Total Hours of Rain from .epw,Monthly Total Precipitation in Site:Precipitation [in],Monthly Total Roof Irrigation Depth [in],Monthly Total Rain Collection Volume [ft3]
,Jan,1.02,35,,,
,Feb,0.00,0,,,
,Mar,0.00,0,,,
,Apr,1.14,23,,,
,May,0.00,0,,,
,Jun,4.21,45,,,
,Jul,2.83,29,,,
,Aug,0.00,0,,,
,Sep,0.79,11,,,
,Oct,0.00,0,,,
,Nov,0.00,0,,,
,Dec,0.16,8,,,


Weather Statistics File

,,Value
,None,


----------------------------------------------------------------------------------------------------
REPORT:,Envelope Summary
FOR:,Entire Facility
Opaque Exterior

,,Construction,Reflectance,U-Factor with Film [Btu/h-ft2-F],U-Factor no Film [Btu/h-ft2-F],Gross Area [ft2],Net Area [ft2],Azimuth [deg],Tilt [deg],Cardinal Direction
,WALL_LDF_1.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,338.48,294.05,180.00,90.00,S
,WALL_SDR_1.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,253.86,209.43,90.00,90.00,E
,WALL_LDB_1.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,338.48,254.03,0.00,90.00,N
,WALL_SDL_1.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,253.86,209.43,270.00,90.00,W
,WALL_LDF_2.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,338.48,294.05,180.00,90.00,S
,WALL_SDR_2.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,253.86,209.43,90.00,90.00,E
,WALL_LDB_2.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,338.48,294.05,0.00,90.00,N
,WALL_SDL_2.UNIT1,EXTERIOR WALL,0.30,0.048,0.050,253.86,209.43,270.00,90.00,W
,ROOF_RIGHT_UNIT1,GABLE_END,0.30,0.314,0.428,73.79,73.79,90.00,90.00,E
,ROOF_LEFT_UNIT1,GABLE_END,0.30,0.314,0.428,73.79,73.79,270.00,90.00,W
,ROOF_FRONT_UNIT1,EXTERIOR ROOF,0.25,0.543,0.943,626.00,626.00,180.00,18.32,
,ROOF_BACK_UNIT1,EXTERIOR ROOF,0.25,0.543,0.943,626.00,626.00,0.00,18.32,


Opaque Interior

,,Construction,Reflectance,U-Factor with Film [Btu/h-ft2-F],U-Factor no Film [Btu/h-ft2-F],Gross Area [ft2],Net Area [ft2],Azimuth [deg],Tilt [deg],Cardinal Direction
,INTER ZONE FLOOR 1,INTERIOR FLOOR,0.30,0.193,0.300,1188.55,1188.55,90.00,180.00,
,CEILING_UNIT1,INTERIOR CEILING,0.30,0.023,0.024,1188.55,1188.55,180.00,0.00,
,iz-CEILING_UNIT1,ATTIC FLOOR,0.30,0.023,0.024,1188.55,1188.55,0.00,180.00,
,INTERNALMASS_UNIT1,INTERIORFURNISHINGS,0.30,,0.141,106.53,,0.00,90.00,N


Exterior Fenestration

,,Construction,Frame and Divider,Glass Area [ft2],Frame Area [ft2],Divider Area [ft2],Area of One Opening [ft2],Area of Multiplied Openings [ft2],Glass U-Factor [Btu/h-ft2-F],Glass SHGC,Glass Visible Transmittance,Frame Conductance [Btu/h-ft2-F],Divider Conductance [Btu/h-ft2-F],NFRC Product Type,Assembly U-Factor [Btu/h-ft2-F],Assembly SHGC,Assembly Visible Transmittance,Shade Control,Parent Surface,Azimuth [deg],Tilt [deg],Cardinal Direction
,WINDOW_LDF_1.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_LDF_1.UNIT1,180.00,90.00,S
,WINDOW_SDR_1.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_SDR_1.UNIT1,90.00,90.00,E
,WINDOW_LDB_1.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_LDB_1.UNIT1,0.00,90.00,N
,WINDOW_SDL_1.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_SDL_1.UNIT1,270.00,90.00,W
,WINDOW_LDF_2.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_LDF_2.UNIT1,180.00,90.00,S
,WINDOW_SDR_2.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_SDR_2.UNIT1,90.00,90.00,E
,WINDOW_LDB_2.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_LDB_2.UNIT1,0.00,90.00,N
,WINDOW_SDL_2.UNIT1,EXTERIOR WINDOW,,44.43,0.00,0.00,44.43,44.43,0.300,0.335,0.883,,,,,,,Yes,WALL_SDL_2.UNIT1,270.00,90.00,W
,Total or Average,,,,,,,355.40,0.300,0.335,0.883,,,,,,,,,,,
,North Total or Average,,,,,,,88.85,0.300,0.335,0.883,,,,,,,,,,,
,Non-North Total or Average,,,,,,,266.55,0.300,0.335,0.883,,,,,,,,,,,


Exterior Fenestration Shaded State

,,Frame and Divider,Glass U-Factor [Btu/h-ft2-F],Glass SHGC,Glass Visible Transmittance,NFRC Product Type,Assembly U-Factor [Btu/h-ft2-F],Assembly SHGC,Assembly Visible Transmittance
,None,,,,,,,,


Interior Fenestration

,,Construction,Area of One Opening [ft2],Area of Openings [ft2],Glass U-Factor [Btu/h-ft2-F],Glass SHGC,Glass Visible Transmittance,Parent Surface
,Total or Average,,,0.00,-,-,-,


Exterior Door

,,Construction,U-Factor with Film [Btu/h-ft2-F],U-Factor no Film [Btu/h-ft2-F],Gross Area [ft2],Parent Surface
,DOOR_LDB_UNIT1,EXTERIOR DOOR,0.239,0.300,40.02,WALL_LDB_1.UNIT1


Interior Door

,,Construction,U-Factor with Film [Btu/h-ft2-F],U-Factor no Film [Btu/h-ft2-F],Gross Area [ft2],Parent Surface
,None,,,,,


----------------------------------------------------------------------------------------------------
REPORT:,Shading Summary
FOR:,Entire Facility
Sunlit Fraction

,,March 21 9am,March 21 noon,March 21 3pm,June 21 9am,June 21 noon,June 21 3pm,December 21 9am,December 21 noon,December 21 3pm
,WINDOW_LDF_1.UNIT1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,WINDOW_SDR_1.UNIT1,1.00,0.96,0.00,0.99,0.93,0.00,1.00,0.96,0.00
,WINDOW_LDB_1.UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WINDOW_SDL_1.UNIT1,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
,WINDOW_LDF_2.UNIT1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,WINDOW_SDR_2.UNIT1,1.00,0.96,0.00,0.99,0.93,0.00,1.00,0.96,0.00
,WINDOW_LDB_2.UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WINDOW_SDL_2.UNIT1,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00


Window Control

,,Name,Type,Shaded Construction,Control,Glare Control
,WINDOW_LDF_1.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_SDR_1.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_LDB_1.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_SDL_1.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_LDF_2.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_SDR_2.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_LDB_2.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No
,WINDOW_SDL_2.UNIT1,SHADES-LIVING_UNIT1,Interior Blind,WINDOW_W_BLINDS,AlwaysOff,No


----------------------------------------------------------------------------------------------------
REPORT:,Lighting Summary
FOR:,Entire Facility
Interior Lighting

,,Zone Name,Space Name,Space Type,Lighting Power Density [Btu/h-ft2],Space Area [ft2],Total Power [Btu/h],End Use Subcategory,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Return Air Fraction,Conditioned (Y/N),Consumption [kWh]
,LIVING HARDWIRED LIGHTING1,LIVING_UNIT1,LIVING_UNIT1,GENERAL,0.3335,1188.55,396.37,General,INTERIORLIGHTINGHE,58.88,168.00,58.88,0.0000,Y,356.64
,LIVING PLUG-IN LIGHTING1,LIVING_UNIT1,LIVING_UNIT1,GENERAL,0.1517,1188.55,180.25,General,INTERIORLIGHTINGHE,58.88,168.00,58.88,0.0000,Y,162.18
,Interior Lighting Total,,,,0.2426,2377.10,576.61,,,,,,,,518.81


Daylighting

,,Zone,Control Name,Daylighting Method,Control Type,Fraction Controlled,Lighting Installed in Zone [Btu/h],Lighting Controlled [Btu/h]
,None,,,,,,,


Exterior Lighting

,,Total Watts,Astronomical Clock/Schedule,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Consumption [kWh]
,EXTERIOR-LIGHTS_UNIT1,43.24,Schedule,EXTERIORLIGHTING,84.00,84.00,84.00,189.40
,GARAGE-LIGHTS_UNIT1,7.16,Schedule,INTERIORLIGHTINGHE,58.88,168.00,58.88,21.99
,Exterior Lighting Total,50.41,,,,,,211.39


----------------------------------------------------------------------------------------------------
REPORT:,Equipment Summary
FOR:,Entire Facility
Central Plant

,,Type,Reference Capacity [Btu/h],Reference Efficiency [Btuh/Btuh],Rated Capacity [Btu/h],Rated Efficiency [Btuh/Btuh],IPLV in SI Units [W/W],IPLV in IP Units [Btu/W-h]
,None,,,,,,,


Cooling Coils

,,Type,Design Coil Load [Btu/h],Nominal Total Capacity [Btu/h],Nominal Sensible Capacity [Btu/h],Nominal Latent Capacity [Btu/h],Nominal Sensible Heat Ratio,Nominal Efficiency [Btuh/Btuh],Nominal Coil UA Value [Btu/h-F],Nominal Coil Surface Area [ft2]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,,21381.98,16616.31,4765.67,0.78,4.07,,
Nominal values are gross at rated conditions, i.e., the supply air fan heat and electric power NOT accounted for.


DX Cooling Coils

,,DX Cooling Coil Type,Standard Rated Net Cooling Capacity [ton],Standard Rated Net COP [Btuh/Btuh],EER [Btu/W-h],SEER User [Btu/W-h],SEER Standard [Btu/W-h],IEER [Btu/W-h]
,DX COOLING COIL_UNIT1,,1.7,3.37,11.52,12.07,11.41,11.47
ANSI/AHRI ratings account for supply air fan heat and electric power. SEER User is calculated using user-input PLF curve and cooling coefficient of degradation whereas SEER Standard is calculated using AHRI Std 210/240-2008 default PLF curve and cooling coefficient of degradation.


DX Cooling Coils [ SEER2 ]

